scope,place,articles,publishers,topics,outliers,leader,leader_articles,leader_publishers
"continent","África","485","50","39","428","SA Investment Firm DNI Invests R2 Billion In Digital Economy","2","3"
"continent","América do Norte","2253","130","206","1866","ICE detiene en Florida al periodista nicaragüense exiliado Luis Galeano","4","4"
"continent","América do Sul","590","63","77","483","Samsung amplia portfólio premium de TVs no Brasil com novas Micro RGB, OLED, Neo QLED e The Frame Pro","3","3"
"continent","Ásia","1814","107","103","1642","Mannai Information Technology and Oracle expand collaboration in Saudi Arabia","3","3"
"continent","Europa","2445","128","247","2033","Apple rilascia iOS 27, iPadOS 27, watchOS 27 e macOS 27: ecco tutte le novità","4","4"
"continent","Europa/Ásia (transcontinental)","634","30","89","495","WhatsApp'ta Durum Videolarını 2x Hızda İzleyebileceksiniz","3","3"
"continent","Oceania","517","60","67","312","Airrived launches observability for enterprise AI agents","6","6"
"country","África do Sul","112","13","12","97","SA Investment Firm DNI Invests R2 Billion In Digital Economy","2","3"
"country","África do Sul (redação; grupo Informa britânico)","1","1","0","1","","0","0"
"country","Albânia","0","0","0","0","","0","0"
"country","Alemanha","568","12","67","463","iPhone-Gaming-Zubehör: Apple plant offenbar eigene Controller","2","2"
"country","Angola","2","1","1","1","IA está cada vez mais difícil de controlar? Agentes levantam preocupação no sector","1","1"
"country","Arábia Saudita","24","2","6","18","Samsung reportedly launching Galaxy Tab S12, maybe more devices on October 7","1","1"
"country","Argélia","11","1","0","11","","0","0"
"country","Argentina","87","11","12","73","La inquietante advertencia del CEO de OpenAI: ""Hay dos formas en que el progreso de la Inteligencia Artificial podría salir muy mal""","2","2"
"country","Austrália","243","41","43","150","UST named Workato platinum partner for AI orchestration","4","4"
"country","Áustria","33","3","13","16","War 2019 erster Kunde – Ex-orderbird-CEO David Feichter wird Co-CEO von Wiener Scaleup fiskaly","2","2"
"country","Bahamas","12","2","0","12","","0","0"
"country","Barbados","7","1","0","7","","0","0"
"country","Belarus","27","2","4","23","Agentes de IA de OpenAI atacaron RubyGems antes que a Hugging Face","1","1"
"country","Bélgica","10","1","2","8","Brussels-based Chift raises €10.5 million Series A to become Europe’s financial connectivity layer","1","1"
"country","Belize","20","1","0","20","","0","0"
"country","Bolívia","1","1","1","0","Microsoft elabora código de conduta para manter sua IA sob controle humano","1","1"
"country","Brasil","378","32","58","303","Samsung amplia portfólio premium de TVs no Brasil com novas Micro RGB, OLED, Neo QLED e The Frame Pro","3","3"
"country","Bulgária","90","4","23","66","HUAWEI WATCH GT 7 Series пристигна в България и разширява възможностите за спорт на открито с карти на над 3000 ски курорта","2","2"
"country","Camarões","3","1","0","3","","0","0"
"country","Canadá","27","3","6","21","Telus Warns Customers of Account Breaches","1","1"
"country","Catar","3","1","0","3","","0","0"
"country","Chéquia","103","11","14","87","Tim Cook odešel do důchodu a začal propagovat skládací telefon od Samsungu. Tedy tak nějak","2","3"
"country","Chile","28","5","4","24","Zelda: Ocarina of Time no Switch 2 traz 1080P e 60 FPS, mas com ausência importante","1","1"
"country","China","319","8","14","296","荣耀Magic9超能版首发11000mAh电池：史上电量最大的Magic旗舰","3","2"
"country","Colômbia","65","6","3","62","12+ reasons to update to iOS 27 today","1","1"
"country","Coreia do Sul","270","6","7","256","MBC 신임 사장에 이성주 확정…임기 3년","2","2"
"country","Costa Rica","250","12","27","211","Laura Fernández reduce recorte al Poder Judicial a ¢11 mil millones, pero eleva tono y pone condiciones a magistrados","3","3"
"country","Croácia","23","2","2","21","EU KIDS Act: Europska komisija ovog tjedna predstavlja dobno stupnjevani pristup mrežama","1","1"
"country","Cuba","52","4","3","47","Una nueva demanda en Rusia eleva a 8,64 millones de dólares los reclamos a la aviación estatal cubana","2","2"
"country","Dominica","13","1","0","13","","0","0"
"country","Egito","11","2","2","9","A new solar cell could generate electricity underwater","1","1"
"country","El Salvador","113","6","11","94","Iberojet inicia operaciones con vuelos directos entre El Salvador y España","5","3"
"country","Emirados Árabes Unidos","68","13","8","56","Mannai Information Technology and Oracle expand collaboration in Saudi Arabia","3","3"
"country","Equador","5","2","2","3","La ONU advierte que todos los derechos humanos “están en riesgo” ante el avance de la IA","1","1"
"country","Eslováquia","27","3","2","25","This one feature convinced me to use the Pixel 11","1","1"
"country","Eslovênia","0","0","0","0","","0","0"
"country","Espanha","129","8","13","115","Así puedes saber, en un solo vistazo, si un televisor es compatible con la nueva TDT en DVB-T2 y sirve para ver los nuevos canales en UHD 4K","2","1"
"country","Estados Unidos","793","57","92","661","Apple releases iOS 27 with Siri AI and these new iPhone features","3","3"
"country","Etiópia","1","1","0","1","","0","0"
"country","Fiji","29","2","0","29","","0","0"
"country","Filipinas","37","7","5","30","Xiaomi TV S Mini LED 2026 Series and New Mijia Washers Now Available in the Philippines","2","2"
"country","Finlândia","8","3","0","8","","0","0"
"country","França","254","10","34","210","Interdiction des réseaux sociaux aux moins de 15 ans : la France soumet une nouvelle version de son projet à Bruxelles","3","3"
"country","Gana","113","1","3","108","Visa restrictions costing African businesses opportunities – Gabby Otchere-Darko","2","1"
"country","Granada","1","1","0","1","","0","0"
"country","Grécia","24","2","6","18","Σε πόσα μέτρα αρχίζει να χάνει ταχύτητα ένα καλώδιο Ethernet","1","1"
"country","Guatemala","122","5","18","99","Lamine Yamal: «Este año me merecería ganar el Balón de Oro»","2","2"
"country","Haiti","7","1","1","5","Haïti - Actualité : Zapping","2","1"
"country","Honduras","125","3","20","101","Banderas, música y sonrisas llenan de color las calles en los desfiles patrios de primaria","2","2"
"country","Hong Kong (China)","30","3","4","26","蘋果 A20 Pro 單核跑分創紀錄   完勝 Intel i9 及 AMD Ryzen 9 桌上處理器","1","1"
"country","Hungria","45","5","3","42","A Cyberpunk 2077 a Battle.netre költözik, Geralt pedig a Diablo IV-be","1","1"
"country","Ilhas Cayman","9","1","0","9","","0","0"
"country","Ilhas Cook","0","0","0","0","","0","0"
"country","Ilhas Virgens Britânicas","5","1","0","5","","0","0"
"country","Indonésia","48","4","6","42","OPPO Find X10 Series Resmi Meluncur 22 September, Bawa Tiga Model","1","1"
"country","Irã","283","15","20","251","آپدیت HyperOS 4 شیائومی به نسخه جهانی رسید؛ این 7 گوشی وارد بتای جدید می‌شوند","3","3"
"country","Irlanda","7","1","0","7","","0","0"
"country","Israel","55","7","2","53","Filtración revela el nuevo diseño del Samsung Galaxy SmartTag 3","1","1"
"country","Itália","215","6","27","178","Ecobonus, novità in arrivo: Governo valuta aumento della detrazione al 65%","3","3"
"country","Jamaica","32","3","3","26","‘Father God gave me a second chance’","2","1"
"country","Japão","249","14","13","229","SBI証券、「こどもNISA」事前受付は10月から","3","2"
"country","Letônia","0","0","0","0","","0","0"
"country","Líbano","1","1","0","1","","0","0"
"country","Malásia","52","6","5","43","Yes AI 30: RM30 postpaid with uncapped 5G, no FUP and free ILMUchat Pro","3","3"
"country","Marrocos","1","1","1","0","ChatGPTが本日もリセット。OpenAIがGPT-6 Astraの不具合3件を修正","1","1"
"country","México","56","6","9","45","Poste Italiane assume o controle da TIM e busca ampliar sua participação","2","1"
"country","Nicaragua","5","1","1","4","ICE detiene en Florida al periodista nicaragüense exiliado Luis Galeano","1","1"
"country","Nicarágua","3","1","1","2","ICE detiene en Florida al periodista nicaragüense exiliado Luis Galeano","1","1"
"country","Nigéria","152","13","16","131","Dangote Thanks Tinubu for Fuel Subsidy, Forex Reforms as Refinery IPO Opens","2","2"
"country","Nova Zelândia","245","17","52","133","Reso launches AI dispute platform for New Zealand HR","5","5"
"country","Países Baixos","4","1","0","4","","0","0"
"country","Panamá","166","7","22","132","Mulino declara una ofensiva frontal contra las pandillas: 'O son los narcos o somos nosotros'","2","2"
"country","Papua-Nova Guiné","0","0","0","0","","0","0"
"country","Paraguai","2","1","1","1","Trump dice que la IA no necesita más control que tenerlo a él como presidente de Estados Unidos","1","1"
"country","Peru","15","1","4","11","La ONU advierte que todos los derechos humanos “están en riesgo” ante el avance de la IA","1","1"
"country","Polônia","277","15","39","230","Allegro otwiera biuro w Chinach. To ważniejsze niż myślisz","3","3"
"country","Porto Rico","57","3","7","47","Gobernadora dice que aún no identifican fondos para elevar a $1,000 las pensiones","2","2"
"country","Portugal","75","4","9","66","Galaxy S27 Ultra: Outro corte nas câmaras?","1","1"
"country","Quênia","18","5","4","12","ASK Tech Ventures Launches ODIGO CMS In Africa","2","2"
"country","Reino Unido","226","16","25","195","Revolut falls for fake government requests, hands over customer data","2","2"
"country","República Dominicana","376","9","40","302","DGII ampliará Scoring Tributario a más de 200,000 pymes","3","3"
"country","Romênia","122","8","11","108","Comunicat oficial: Apple TV este acum disponibil în România","3","3"
"country","Rússia","281","10","41","227","Сентябрьское обновление Windows 11 вызывает проблемы со звуком и другие ошибки","2","2"
"country","São Cristóvão e Névis","2","1","0","2","","0","0"
"country","São Vicente e Granadinas","0","0","0","0","","0","0"
"country","Senegal","4","1","1","2","ZLECAf : un corridor numérique de 5,17 milliards de dollars pour accélérer le commerce africain","2","1"
"country","Sérvia","26","3","5","21","Microsoft konačno popravlja Bluetooth u Windows 11 sistemu – devet izmena rešava prekide, kašnjenja i probleme sa povezivanjem","1","1"
"country","Singapura","36","5","2","34","Bitcoin y Ethereum: así cotizan las principales criptomonedas este lunes 14 de septiembre","1","1"
"country","Suécia","35","1","3","32","10.000 Nits und 165 Hertz: Samsungs neues Display ist heller als alles, was je in einem Handy steckte","1","1"
"country","Suíça","25","3","7","11","Walkthrough durch den schwierigsten Dungeon im Real-Life-Game","2","2"
"country","Suíça (edição africana)","6","1","0","6","","0","0"
"country","Suíça (edição Oriente Médio)","3","1","1","2","QNB Syria Brings Mastercard Payments to Global Reach","1","1"
"country","Tailândia","21","4","1","19","Salesforce เปิดตัว Trusted Enterprise AI Harness รากฐานใหม่สำหรับการใช้งาน AI ในองค์กร [PR]","2","1"
"country","Taiwan","175","7","6","167","【資安日報】9月14日，GitLab修補CVSS滿分重大漏洞，公開隔天即出現漏洞探測","2","1"
"country","Tanzânia","1","1","0","1","","0","0"
"country","Trinidad e Tobago","0","0","0","0","","0","0"
"country","Tunísia","32","4","1","30","Centenaire de l’Hôtel Carlton Tunis (1926–2026) : Une célébration mémorable au cœur de l’histoire, de l’art et du patrimoine sur l’Avenue Habib Bourguiba","2","2"
"country","Turquia","353","20","57","268","WhatsApp'ta Durum Videolarını 2x Hızda İzleyebileceksiniz","3","3"
"country","Ucrânia","92","4","13","79","Не потягнула ультраналаштувань: роз'єм RTX 5090 згорів через інді-гру 11-річної давнини","1","1"
"country","Uganda","0","0","0","0","","0","0"
"country","Uruguai","5","2","1","4","Η Microsoft ενσωματώνει το Grok στο Copilot για Word, Excel και PowerPoint","1","1"
"country","Venezuela","4","2","2","2","La urgencia de ralentizar la IA y perder contra China divide a EEUU tras alarma del sector","1","1"
"country","Vietnã","140","3","12","116","Quá hot: Giá tăng nhưng người Việt vẫn chi ra 300 tỷ để cọc iPhone mới","3","2"
"country","Zâmbia","5","1","0","5","","0","0"
"country","Zimbábue","12","2","1","10","Zimbabwe’s Internet Penetration Rate Rises to 87.39% in Q1 2026","2","1"
"globe","Globo","8738","568","617","7259","NVIDIA RTX PRO 5500 Blackwell oficjalnie. Na pokładzie 84 GB pamięci","7","7"
