scope,place,articles,publishers,outliers,topics,leader,leader_articles,leader_publishers
"continent","África","486","50","427","40","SA Investment Firm DNI Invests R2 Billion In Digital Economy","2","3"
"continent","América do Norte","2217","130","1839","202","Trump dice que la IA no necesita más control que tenerlo a él como presidente de Estados Unidos","4","4"
"continent","América do Sul","596","63","487","78","Samsung amplia portfólio premium de TVs no Brasil com novas Micro RGB, OLED, Neo QLED e The Frame Pro","3","3"
"continent","Ásia","1815","107","1643","103","Xiaomi представила Pad 9 и Pad 9 Pro — относительно доступные планшеты на Snapdragon","3","3"
"continent","Europa","2450","128","2042","244","NVIDIA RTX PRO 5500 Blackwell oficjalnie. Na pokładzie 84 GB pamięci","4","4"
"continent","Europa/Ásia (transcontinental)","634","30","496","88","WhatsApp'ta Durum Videolarını 2x Hızda İzleyebileceksiniz","3","3"
"continent","Oceania","498","60","304","64","Airrived launches observability for enterprise AI agents","6","6"
"country","África do Sul","108","13","93","12","SA Investment Firm DNI Invests R2 Billion In Digital Economy","2","3"
"country","África do Sul (redação; grupo Informa britânico)","1","1","1","0","","0","0"
"country","Albânia","0","0","0","0","","0","0"
"country","Alemanha","566","12","463","66","BYD legt vor: Erste E-Autos mit Feststoffbatterie schon nächstes Jahr","2","2"
"country","Angola","2","1","1","1","IA está cada vez mais difícil de controlar? Agentes levantam preocupação no sector","1","1"
"country","Arábia Saudita","24","2","18","6","سامسونج تستعد لإطلاق Galaxy Tab S12+ وTab S12 Ultra في 7 أكتوبر","1","1"
"country","Argélia","11","1","11","0","","0","0"
"country","Argentina","87","11","73","12","""Estamos al borde de un cambio irreversible"": la ONU reclamó acciones urgentes de los gobiernos para regular la Inteligencia Artificial","2","2"
"country","Austrália","235","41","147","40","University of Sydney gives campus-wide ChatGPT Edu access","4","4"
"country","Áustria","33","3","16","13","fiskaly ernennt David Feichter zum neuen Co-CEO","2","2"
"country","Bahamas","12","2","12","0","","0","0"
"country","Barbados","7","1","7","0","","0","0"
"country","Belarus","27","2","23","4","Honor تكشف تصميم وألوان سلسلة Magic9.. وإصدار Super Edition ببطارية ضخمة 11,000 مللي أمبير","1","1"
"country","Bélgica","10","1","8","2","Brussels-based Chift raises €10.5 million Series A to become Europe’s financial connectivity layer","1","1"
"country","Belize","20","1","20","0","","0","0"
"country","Bolívia","1","1","0","1","Microsoft elabora código de conduta para manter sua IA sob controle humano","1","1"
