ID_relatorio;Regiao;Erro_original;Acao;Veiculo_anterior;Pais_anterior;RSS_anterior;Veiculo_revisado;Pais_revisado;RSS_revisado;XML_confirmado;Data_verificacao;Itens_XML;Ultima_data_XML;Reteste_HTTP;Reteste_OK;Erro_reteste;Observacao
9;América do Norte;http_403;substituir;BigDATAwire;Estados Unidos;https://www.bigdatawire.com/feed/;Data Center Knowledge;Estados Unidos;https://www.datacenterknowledge.com/rss.xml;True;2026-09-14T11:52:27.783773+00:00;50;2026-09-11T17:45:27+00:00;200;True;;
27;América do Norte;AttributeError;substituir;Digital Trends;Estados Unidos;https://www.digitaltrends.com/feed/;EE Times;Estados Unidos;https://www.eetimes.com/feed/;True;2026-09-14T11:52:27.786819+00:00;10;2026-09-14T05:53:04+00:00;200;True;;"Relatório original contém AttributeError do coletor. Revisar traceback e normalização de tipos antes de concluir causa no veículo. País ou foco editorial alterado; não é equivalência auditada de audiência ou cobertura."
36;América do Norte;http_403;substituir;HPCwire;Estados Unidos;https://www.hpcwire.com/feed/;Semiconductor Engineering;Estados Unidos;https://semiengineering.com/feed/;True;2026-09-14T11:50:17.718555+00:00;10;2026-09-14T07:01:44+00:00;200;True;;
52;América do Norte;http_403;manter_revalidado;RCR Wireless News;Estados Unidos;https://rcrwireless.com/feed;RCR Wireless News;Estados Unidos;https://rcrwireless.com/feed;True;2026-09-14T11:46:17.589245+00:00;10;2026-09-14T11:39:40+00:00;200;True;;
53;América do Norte;invalid_or_malformed_feed;substituir;SC Media;Estados Unidos;https://www.scworld.com/feed;The Cyber Express;Estados Unidos;https://thecyberexpress.com/feed/;True;2026-09-14T11:56:56.017414+00:00;10;2026-09-11T12:49:04+00:00;200;True;;
72;América do Norte;http_429;manter_revalidado;VentureBeat;Estados Unidos;https://venturebeat.com/feed;VentureBeat;Estados Unidos;https://venturebeat.com/feed;True;2026-09-14T11:41:01.801556+00:00;7;2026-09-13T22:00:00+00:00;200;True;;
75;América do Norte;http_404;substituir;ZDNET;Estados Unidos;https://www.zdnet.com/news/rss.xml;Techstrong AI;Estados Unidos;https://techstrong.ai/feed/;True;2026-09-14T11:52:27.788352+00:00;10;2026-09-14T09:42:19+00:00;200;True;;
76;América Central e Caribe;gaierror;substituir;100% Noticias;Nicaragua;https://100noticias.com.ni/rss/;Nicaragua Investiga;Nicarágua;https://nicaraguainvestiga.com/feed/;True;2026-09-14T11:47:03.714013+00:00;13;2026-09-13T22:30:41+00:00;200;True;;"Reposição da mesma região; países anterior e novo indicados na tabela. Filtragem temática necessária."
77;América Central e Caribe;http_403;substituir;Artículo 66;Nicaragua;https://www.articulo66.com/feed/;El Periódico Costa Rica;Costa Rica;https://elperiodicocr.com/feed/;True;2026-09-14T11:47:03.712898+00:00;5;2026-09-14T01:30:00+00:00;200;True;;"Reposição da mesma região; países anterior e novo indicados na tabela. País ou foco editorial alterado; não é equivalência auditada de audiência ou cobertura. Filtragem temática necessária."
84;América Central e Caribe;http_404;substituir;CRHoy;Costa Rica;https://www.crhoy.com/tecnologia/feed/;The Costa Rica News;Costa Rica;https://thecostaricanews.com/feed/;True;2026-09-14T11:47:03.710167+00:00;10;2026-09-14T01:23:00+00:00;200;True;;Filtragem temática necessária.
